text,sentiment
"I absolutely love this product.",positive
"This is the worst experience I have ever had.",negative
"The product arrived yesterday.",neutral
"I am very happy with the service.",positive
"Terrible quality, I want a refund.",negative
"It is okay, nothing special.",neutral
"Highly recommend this to everyone!",positive
"Do not buy this, it is a scam.",negative
"The color is exactly as shown in the picture.",neutral
"Amazing customer support, very helpful.",positive
"The battery life is awful.",negative
"It has standard features.",neutral
"Fantastic purchase, worth every penny.",positive
"Broke after two days of use.",negative
"The manual is included in the box.",neutral
"Superb quality, I will buy again.",positive
"Horrible design, very uncomfortable.",negative
"Delivery took 3 days.",neutral
"One of the best products on the market.",positive
"Totally disappointed, waste of money.",negative
